0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3,730
4,530
5,260
5,970
3,140
3,030
679
690
738
1,200
1,540
2,060
3,280
2,510
3,060
3,440
4,400
6,990
9,180
15,600
2,830
4,540
5,350
5,450
6,270
18,000
25,200
25,500
57,800
93,200
86,000
105,000
111,000
87,800
62,400
87,100
57,200
47,300
49,500
64,000
68,500
3,450
7,590
63,700
68,000
73,100
73,400
19,700
79,300
113,000
122,000
75,000
74,300
81,900
76,000
92,800
90,200
83,600
93,700
108,000
122,000
132,000
139,000
154,000
173,000
163,000
149,000
156,000
127,000
128,000
177,000
214,000
213,000
178,000
188,000
204,000
210,000
217,000
256,000
261,000
342,000
392,000
378,000
449,000
366,000
481,000
610,000
634,000
582,000
621,000
616,000
741,000
1,960,000
2,480,000
2,070,000
